,predict,relation
17130,xEffect,xEffect
17131,xAttr,xNeed
17132,xIntent,xWant
17133,xIntent,oWant
17134,xReact,oEffect
17135,xIntent,oReact
17136,xWant,xEffect
17137,xAttr,oReact
17138,xReact,xIntent
17139,xIntent,xIntent
17140,xWant,xAttr
17141,xEffect,xReact
17142,xWant,xIntent
17143,xIntent,xWant
17144,xIntent,xReact
17145,xEffect,xEffect
17146,xIntent,xIntent
17147,xEffect,xReact
17148,xWant,xNeed
17149,xWant,xIntent
17150,xIntent,xNeed
17151,xIntent,xEffect
17152,xIntent,xEffect
17153,xEffect,oEffect
17154,xIntent,xAttr
17155,xIntent,xIntent
17156,xIntent,xWant
17157,xIntent,xNeed
17158,xAttr,xEffect
17159,xIntent,xAttr
17160,xIntent,xWant
17161,xIntent,xNeed
17162,xReact,oEffect
17163,oEffect,oReact
17164,xIntent,xIntent
17165,xWant,oWant
17166,oEffect,xIntent
17167,xAttr,xAttr
17168,xAttr,oWant
17169,xIntent,xEffect
17170,xAttr,xAttr
17171,xAttr,xAttr
17172,xEffect,xEffect
17173,xEffect,xNeed
17174,xNeed,xWant
17175,xIntent,xWant
17176,xReact,xReact
17177,oReact,xReact
17178,xEffect,oWant
17179,xReact,oEffect
17180,oEffect,xReact
17181,xAttr,xAttr
17182,xAttr,xAttr
17183,xIntent,xReact
17184,xWant,oWant
17185,xAttr,xEffect
17186,xIntent,xIntent
17187,oWant,xWant
17188,xAttr,xAttr
17189,xIntent,xWant
17190,xAttr,xAttr
17191,xEffect,xAttr
17192,xIntent,xAttr
17193,xIntent,oWant
17194,xNeed,xEffect
17195,xIntent,xIntent
17196,xIntent,xWant
17197,oWant,xNeed
17198,xIntent,xReact
17199,xIntent,xNeed
17200,oEffect,xEffect
17201,xIntent,xReact
17202,xIntent,xNeed
17203,xReact,xReact
17204,xIntent,xIntent
17205,xIntent,xReact
17206,xIntent,xIntent
17207,oEffect,oEffect
17208,xWant,oWant
17209,NA,xIntent
17210,xIntent,xWant
17211,xAttr,xAttr
17212,xIntent,xWant
17213,xNeed,xNeed
17214,xIntent,xEffect
17215,xAttr,xIntent
17216,xAttr,xAttr
17217,xWant,xIntent
17218,xIntent,xEffect
17219,xAttr,xNeed
17220,xEffect,oEffect
17221,oReact,xReact
17222,xReact,xNeed
17223,xEffect,xEffect
17224,xEffect,xReact
17225,xAttr,xIntent
17226,xIntent,xNeed
17227,xIntent,xReact
17228,xEffect,xEffect
17229,oReact,xAttr
17230,xNeed,xAttr
17231,oReact,xWant
17232,xIntent,xAttr
17233,oEffect,oEffect
17234,xAttr,xReact
17235,xIntent,xNeed
17236,xIntent,xWant
17237,xWant,xWant
17238,xIntent,xReact
17239,xIntent,oReact
17240,xEffect,oEffect
17241,xIntent,xReact
17242,oEffect,oReact
17243,xIntent,xWant
17244,xEffect,xReact
17245,oReact,xReact
17246,xIntent,xNeed
17247,xIntent,xReact
17248,xReact,oEffect
17249,xIntent,oWant
17250,xAttr,xAttr
17251,xEffect,xEffect
17252,xEffect,xAttr
17253,xAttr,xAttr
17254,xIntent,xNeed
17255,xEffect,xReact
17256,xIntent,xIntent
17257,xIntent,xEffect
17258,xAttr,xAttr
17259,xIntent,xIntent
17260,xIntent,xWant
17261,xIntent,xWant
17262,xAttr,xNeed
17263,xAttr,xNeed
17264,xIntent,oWant
17265,xAttr,oReact
17266,xEffect,xAttr
17267,xEffect,oEffect
17268,xReact,xWant
17269,xIntent,xEffect
17270,xIntent,xNeed
17271,xEffect,xReact
17272,xIntent,xAttr
17273,xAttr,xIntent
17274,xIntent,xIntent
17275,xIntent,xWant
17276,xEffect,xAttr
17277,xEffect,xNeed
17278,xIntent,xNeed
17279,oWant,xIntent
17280,xIntent,oWant
17281,xWant,xNeed
17282,xIntent,xReact
17283,xNeed,xEffect
17284,xWant,oWant
17285,xIntent,xReact
17286,xIntent,xNeed
17287,xAttr,xAttr
17288,xIntent,xWant
17289,xAttr,xNeed
17290,xEffect,xReact
17291,xAttr,xAttr
17292,xWant,xAttr
17293,xWant,xIntent
17294,xIntent,xIntent
17295,xAttr,xReact
17296,xNeed,xEffect
17297,oEffect,xEffect
17298,xReact,xWant
17299,xReact,xReact
17300,xWant,xWant
17301,xEffect,xEffect
17302,xWant,xWant
17303,xIntent,xAttr
17304,xIntent,xReact
17305,xIntent,xNeed
17306,xIntent,xWant
17307,oEffect,xEffect
17308,xAttr,xAttr
17309,xAttr,xAttr
17310,xIntent,xIntent
17311,xIntent,xNeed
17312,oReact,oReact
17313,xIntent,xEffect
17314,xIntent,xAttr
17315,xAttr,oReact
17316,oReact,xReact
17317,xIntent,xIntent
17318,xWant,xReact
17319,xIntent,xWant
17320,oEffect,xReact
17321,xAttr,oEffect
17322,xNeed,xAttr
17323,oWant,xWant
17324,xAttr,xIntent
17325,xIntent,xNeed
17326,NA,xWant
17327,xIntent,xWant
17328,xIntent,xNeed
17329,xIntent,xEffect
17330,oEffect,oReact
17331,xEffect,xAttr
17332,xEffect,xAttr
17333,xEffect,xReact
17334,xNeed,xWant
17335,xReact,xReact
17336,xAttr,xIntent
17337,xEffect,xEffect
17338,xAttr,xAttr
17339,xNeed,xAttr
17340,xIntent,xWant
17341,xIntent,xAttr
17342,xIntent,xWant
17343,xAttr,xReact
17344,xIntent,xWant
17345,xAttr,xReact
17346,xNeed,xAttr
17347,xAttr,xReact
17348,xReact,xAttr
17349,xIntent,xNeed
17350,xEffect,xEffect
17351,xAttr,xReact
17352,xIntent,xReact
17353,xIntent,xReact
17354,xAttr,xAttr
17355,xReact,oReact
17356,oReact,xWant
17357,xReact,xAttr
17358,xIntent,xAttr
17359,xNeed,xNeed
17360,xIntent,oWant
17361,xEffect,xReact
17362,xAttr,xAttr
17363,xEffect,xReact
17364,xEffect,xEffect
17365,xAttr,xAttr
17366,xNeed,xNeed
17367,xReact,oEffect
17368,oEffect,xEffect
17369,xIntent,xAttr
17370,xReact,xReact
17371,xIntent,xEffect
17372,xAttr,xAttr
17373,xAttr,xReact
17374,xReact,xReact
17375,oReact,oReact
17376,xIntent,xWant
17377,xNeed,xNeed
17378,xAttr,oReact
17379,xWant,xIntent
17380,xAttr,xIntent
17381,xReact,xWant
17382,xIntent,oEffect
17383,xWant,oWant
17384,xEffect,xWant
17385,xReact,xEffect
17386,xIntent,xWant
17387,oWant,xIntent
17388,xNeed,xWant
17389,xReact,xAttr
17390,oEffect,xReact
17391,xEffect,xEffect
17392,xAttr,xAttr
17393,xIntent,xNeed
17394,xWant,xWant
17395,xIntent,xIntent
17396,xAttr,xAttr
17397,xWant,xReact
17398,xWant,xNeed
17399,xIntent,xAttr
17400,NA,xEffect
17401,xEffect,xEffect
17402,xIntent,xIntent
17403,xAttr,xReact
17404,xIntent,xNeed
17405,xIntent,xEffect
17406,xEffect,xReact
17407,xEffect,xEffect
17408,xIntent,oWant
17409,xIntent,xIntent
17410,xIntent,xNeed
17411,oReact,xWant
17412,xAttr,xReact
17413,xNeed,xReact
17414,xEffect,xAttr
17415,oReact,xWant
17416,xIntent,xReact
17417,xIntent,oEffect
17418,xReact,oReact
17419,xIntent,xWant
17420,NA,xWant
17421,xIntent,xReact
17422,xAttr,xAttr
17423,xNeed,xWant
17424,xIntent,xWant
17425,xReact,xIntent
17426,oEffect,xReact
17427,xAttr,xAttr
17428,xIntent,xReact
17429,xWant,xAttr
17430,xEffect,xEffect
17431,xAttr,oReact
17432,xWant,xAttr
17433,xEffect,xReact
17434,xEffect,xEffect
17435,xIntent,xIntent
17436,xAttr,oReact
17437,xReact,xNeed
17438,xIntent,xWant
17439,xIntent,xAttr
17440,xIntent,xReact
17441,xIntent,xEffect
17442,xIntent,xReact
17443,xIntent,xNeed
17444,xEffect,oEffect
17445,xReact,xWant
17446,xAttr,xAttr
17447,xIntent,xIntent
17448,xIntent,xWant
17449,xEffect,oReact
17450,xEffect,oEffect
17451,oReact,oWant
17452,xIntent,xWant
17453,xIntent,xAttr
17454,xIntent,xWant
17455,xIntent,xIntent
17456,xAttr,xAttr
17457,xAttr,xEffect
17458,xIntent,xNeed
17459,xIntent,xNeed
17460,xIntent,xIntent
17461,xEffect,xEffect
17462,xWant,xAttr
17463,xReact,oEffect
17464,xIntent,xEffect
17465,xReact,oEffect
17466,xIntent,xReact
17467,xEffect,xEffect
17468,xWant,xNeed
17469,xWant,xWant
17470,xEffect,xEffect
17471,xIntent,xIntent
17472,xReact,xEffect
17473,xIntent,xIntent
17474,xIntent,xWant
17475,xIntent,xWant
17476,xIntent,xReact
17477,xIntent,oReact
17478,xIntent,xIntent
17479,xIntent,xReact
17480,xEffect,xEffect
17481,xNeed,oWant
17482,xNeed,xNeed
17483,oEffect,xEffect
17484,xEffect,xAttr
17485,xIntent,xReact
17486,xIntent,xWant
17487,xIntent,xWant
17488,xIntent,xWant
17489,xIntent,xReact
17490,xAttr,xAttr
17491,xEffect,xEffect
17492,xIntent,xNeed
17493,oReact,oWant
17494,xIntent,xNeed
17495,oEffect,xEffect
17496,xAttr,xAttr
17497,xAttr,oReact
17498,xIntent,xAttr
17499,xEffect,xAttr
17500,xWant,xEffect
17501,oEffect,xNeed
17502,xIntent,xWant
17503,xEffect,xReact
17504,xEffect,xReact
17505,xIntent,oWant
17506,xEffect,xEffect
17507,xEffect,xReact
17508,xAttr,xAttr
17509,xAttr,xReact
17510,oEffect,xEffect
17511,xAttr,xEffect
17512,xIntent,xIntent
17513,xIntent,xEffect
17514,xNeed,xReact
17515,xAttr,oEffect
17516,xEffect,xReact
17517,xEffect,xReact
17518,NA,oEffect
17519,xWant,xWant
17520,xEffect,xEffect
17521,xWant,xWant
17522,xAttr,xAttr
17523,xEffect,xAttr
17524,xAttr,xReact
17525,xReact,xWant
17526,xIntent,xIntent
17527,xEffect,xReact
17528,xAttr,xAttr
17529,xIntent,xNeed
17530,xEffect,xReact
17531,xIntent,xWant
17532,xAttr,xEffect
17533,xEffect,xReact
17534,xEffect,xReact
17535,xAttr,xAttr
17536,xAttr,xReact
17537,xAttr,xAttr
17538,xIntent,xNeed
17539,xWant,xWant
17540,oReact,xNeed
17541,xAttr,oReact
17542,xIntent,oReact
17543,xAttr,xIntent
17544,xWant,oEffect
17545,xIntent,oWant
17546,xIntent,xReact
17547,xEffect,xEffect
17548,xIntent,xWant
17549,xWant,oWant
17550,xIntent,xEffect
17551,xAttr,xNeed
17552,xIntent,xReact
17553,xReact,xReact
17554,xIntent,xEffect
17555,xIntent,oWant
17556,xIntent,xNeed
17557,oEffect,xEffect
17558,xReact,oEffect
17559,xEffect,xWant
17560,xIntent,xAttr
17561,xIntent,xWant
17562,xIntent,xIntent
17563,xWant,xWant
17564,xAttr,xReact
17565,xIntent,xAttr
17566,xReact,xEffect
17567,xEffect,xEffect
17568,xAttr,xAttr
17569,xAttr,oWant
17570,xIntent,oEffect
17571,xAttr,xAttr
17572,xIntent,xReact
17573,oEffect,xReact
17574,xIntent,xIntent
17575,xIntent,xEffect
17576,xAttr,xReact
17577,xIntent,xIntent
17578,xIntent,xEffect
17579,xIntent,xReact
17580,xAttr,xNeed
17581,xAttr,xReact
17582,xIntent,xIntent
17583,xIntent,xIntent
17584,xWant,xNeed
17585,xIntent,oWant
17586,xReact,xEffect
17587,xEffect,xAttr
17588,xIntent,xNeed
17589,xIntent,xAttr
17590,xEffect,xEffect
17591,xNeed,xNeed
17592,xIntent,xReact
17593,xIntent,xWant
17594,xWant,xWant
17595,xIntent,xEffect
17596,xReact,xReact
17597,xAttr,xReact
17598,xIntent,oEffect
17599,xIntent,xIntent
17600,xIntent,xAttr
17601,xEffect,xReact
17602,xIntent,xNeed
17603,xIntent,xIntent
17604,xIntent,xIntent
17605,xIntent,xNeed
17606,xAttr,oWant
17607,xAttr,xAttr
17608,xAttr,oReact
17609,oReact,xWant
17610,xNeed,xNeed
17611,xAttr,xAttr
17612,xIntent,xWant
17613,xIntent,oWant
17614,xIntent,xAttr
17615,xIntent,xAttr
17616,xIntent,xReact
17617,xReact,oEffect
17618,xIntent,xNeed
17619,xNeed,xNeed
17620,xIntent,xIntent
17621,xIntent,oWant
17622,xIntent,xEffect
17623,xWant,xAttr
17624,xAttr,xAttr
17625,xIntent,xWant
17626,xAttr,oReact
17627,NA,xWant
17628,xEffect,oReact
17629,xIntent,xAttr
17630,xNeed,oReact
17631,xIntent,xNeed
17632,xAttr,oReact
17633,xAttr,xAttr
17634,xIntent,xEffect
17635,xIntent,oWant
17636,xAttr,xAttr
17637,xAttr,xAttr
17638,xIntent,xReact
17639,xIntent,xIntent
17640,xIntent,xReact
17641,xAttr,oReact
17642,xIntent,xEffect
17643,xAttr,xReact
17644,xReact,xEffect
17645,xIntent,oEffect
17646,xIntent,xReact
17647,xIntent,xNeed
17648,xIntent,oWant
17649,xWant,oWant
17650,xAttr,xReact
17651,xWant,xNeed
17652,xIntent,oReact
17653,xAttr,xReact
17654,xIntent,xIntent
17655,xReact,xReact
17656,xIntent,xNeed
17657,xIntent,xAttr
17658,xEffect,xAttr
17659,xIntent,xIntent
17660,xEffect,xNeed
17661,xAttr,xReact
17662,xEffect,xAttr
17663,xAttr,xAttr
17664,xIntent,xIntent
17665,oReact,xWant
17666,xAttr,xAttr
17667,xEffect,oEffect
17668,xEffect,xReact
17669,xWant,xIntent
17670,xIntent,xReact
17671,NA,xNeed
17672,xAttr,xAttr
17673,xReact,oEffect
17674,xReact,xNeed
17675,xEffect,xIntent
17676,xIntent,xWant
17677,oReact,xEffect
17678,xIntent,oReact
17679,xIntent,xAttr
17680,xIntent,xAttr
17681,xAttr,xAttr
17682,xEffect,oReact
17683,xIntent,xIntent
17684,xIntent,xEffect
17685,xIntent,oWant
17686,xIntent,xEffect
17687,xIntent,xNeed
17688,xIntent,oWant
17689,xEffect,oEffect
17690,xNeed,xIntent
17691,xIntent,xEffect
17692,xIntent,oWant
17693,xAttr,xReact
17694,xEffect,xNeed
17695,xEffect,xNeed
17696,xEffect,xEffect
17697,oEffect,xReact
17698,xEffect,xEffect
17699,xIntent,oWant
17700,xWant,xAttr
17701,xEffect,xReact
17702,xNeed,xAttr
17703,xIntent,xIntent
17704,xIntent,xWant
17705,xIntent,xIntent
17706,xWant,xReact
17707,xReact,xAttr
17708,xNeed,xWant
17709,xIntent,xWant
17710,xEffect,oEffect
17711,xIntent,xIntent
17712,xEffect,xAttr
17713,xIntent,xWant
17714,xIntent,xWant
17715,xAttr,xAttr
17716,NA,xEffect
17717,xReact,xAttr
17718,xWant,xWant
17719,xWant,oEffect
17720,xIntent,xIntent
17721,oReact,xIntent
17722,xAttr,xAttr
17723,xIntent,xAttr
17724,xWant,xWant
17725,xWant,xReact
17726,xAttr,xReact
17727,xAttr,xIntent
17728,xIntent,xWant
17729,xIntent,xIntent
17730,xWant,oReact
17731,xIntent,xReact
17732,xAttr,xAttr
17733,xEffect,xAttr
17734,xNeed,xAttr
17735,xAttr,xReact
17736,oReact,xEffect
17737,xWant,oReact
17738,xIntent,xIntent
17739,xIntent,xAttr
17740,xAttr,xAttr
17741,xAttr,xAttr
17742,xWant,xAttr
17743,xIntent,oWant
17744,xWant,oWant
17745,xIntent,oWant
17746,xEffect,xEffect
17747,xIntent,xReact
17748,xIntent,xWant
17749,xIntent,oWant
17750,xAttr,oEffect
17751,xIntent,xNeed
17752,xIntent,oWant
17753,xIntent,xWant
17754,xAttr,xReact
17755,xIntent,xIntent
17756,xIntent,xAttr
17757,xIntent,oWant
17758,xIntent,xWant
17759,xWant,xWant
17760,xNeed,xWant
17761,xIntent,xIntent
17762,xNeed,xWant
17763,oWant,xIntent
17764,xIntent,xWant
17765,xNeed,xNeed
17766,xIntent,xReact
17767,xWant,oReact
17768,xIntent,xNeed
17769,xAttr,xReact
17770,xEffect,oWant
17771,xAttr,oReact
17772,oEffect,xEffect
17773,xIntent,xIntent
17774,xIntent,xIntent
17775,xNeed,xIntent
17776,xIntent,xAttr
17777,xIntent,xIntent
17778,xWant,xIntent
17779,xWant,xWant
17780,xIntent,xNeed
17781,xIntent,xIntent
17782,xAttr,xIntent
17783,xAttr,xReact
17784,xIntent,oWant
17785,xIntent,xWant
17786,oEffect,xReact
17787,xIntent,oWant
17788,xIntent,xNeed
17789,xAttr,xAttr
17790,xReact,oWant
17791,xIntent,xIntent
17792,xEffect,xEffect
17793,xAttr,xAttr
17794,xIntent,xWant
17795,xIntent,xWant
17796,xIntent,xIntent
17797,xAttr,xAttr
17798,xIntent,xWant
17799,xIntent,xAttr
17800,xAttr,xAttr
17801,xNeed,xNeed
17802,xIntent,oReact
17803,xIntent,oEffect
17804,xEffect,xReact
17805,xAttr,oReact
17806,xIntent,xNeed
17807,xNeed,xWant
17808,xIntent,xNeed
17809,xIntent,xEffect
17810,xAttr,xNeed
17811,oEffect,xAttr
17812,xIntent,xIntent
17813,xIntent,oWant
17814,xNeed,xEffect
17815,xIntent,xWant
17816,xIntent,xEffect
17817,xWant,xEffect
17818,xIntent,xWant
17819,xIntent,xWant
17820,xIntent,xIntent
17821,xAttr,xAttr
17822,xAttr,oReact
17823,xIntent,xNeed
17824,xEffect,xReact
17825,xIntent,xAttr
17826,xIntent,xReact
17827,oEffect,oEffect
17828,xIntent,oWant
17829,xAttr,xAttr
17830,xEffect,xEffect
17831,xAttr,xAttr
17832,xIntent,xNeed
17833,xWant,oReact
17834,xReact,oReact
17835,xWant,xReact
17836,xIntent,xWant
17837,xIntent,xIntent
17838,NA,xWant
17839,xIntent,xIntent
17840,xIntent,xNeed
17841,xIntent,xWant
17842,xIntent,xWant
17843,xAttr,xAttr
17844,xEffect,oWant
17845,oEffect,xEffect
17846,xAttr,xIntent
17847,xAttr,xReact
17848,xIntent,xNeed
17849,xWant,xWant
17850,xIntent,xReact
17851,xAttr,xAttr
17852,xIntent,xEffect
17853,xAttr,xAttr
17854,xIntent,xEffect
17855,xIntent,xIntent
17856,xIntent,oEffect
17857,xNeed,xReact
17858,oEffect,oEffect
17859,xAttr,xAttr
17860,xReact,xEffect
17861,xAttr,xAttr
17862,xNeed,xAttr
17863,xIntent,xWant
17864,xEffect,oReact
17865,xIntent,xIntent
17866,xIntent,xNeed
17867,xIntent,xIntent
17868,xIntent,xWant
17869,xIntent,xIntent
17870,oEffect,oWant
17871,xIntent,xIntent
17872,xIntent,xIntent
17873,xNeed,xEffect
17874,xIntent,xIntent
17875,xIntent,xNeed
17876,oEffect,oReact
17877,xIntent,xIntent
17878,xIntent,xIntent
17879,xWant,xIntent
17880,xAttr,oReact
17881,xIntent,xEffect
17882,xAttr,xReact
17883,xIntent,xWant
17884,xAttr,xReact
17885,xEffect,xIntent
17886,xEffect,xEffect
17887,xIntent,xWant
17888,oEffect,oEffect
17889,xWant,xWant
17890,xIntent,xEffect
17891,xIntent,xEffect
17892,xWant,xWant
17893,xAttr,oReact
17894,xAttr,xAttr
17895,xAttr,oReact
17896,xWant,oWant
17897,xIntent,xReact
17898,xIntent,xWant
17899,xIntent,xEffect
17900,xAttr,xAttr
17901,xReact,xReact
17902,xIntent,xAttr
17903,xIntent,xWant
17904,xEffect,xEffect
17905,xIntent,oWant
17906,xIntent,xNeed
17907,xAttr,xWant
17908,xIntent,oWant
17909,xIntent,xIntent
17910,xIntent,xIntent
17911,xNeed,xReact
17912,xIntent,xNeed
17913,xAttr,xReact
17914,xWant,xIntent
17915,xAttr,xEffect
17916,xAttr,xReact
17917,xWant,xNeed
17918,xIntent,xAttr
17919,xAttr,xAttr
17920,xAttr,xReact
17921,xIntent,oWant
17922,xIntent,oWant
17923,xAttr,xAttr
17924,xNeed,xAttr
17925,xWant,xNeed
17926,xIntent,xIntent
17927,xNeed,xNeed
17928,xAttr,xReact
17929,xIntent,xWant
17930,xIntent,xNeed
17931,xEffect,oReact
17932,xIntent,xIntent
17933,xIntent,xReact
17934,xIntent,xWant
17935,xAttr,xEffect
17936,xIntent,xIntent
17937,xIntent,xNeed
17938,xIntent,oEffect
17939,xEffect,xEffect
17940,xIntent,oReact
17941,xEffect,xReact
17942,xIntent,xWant
17943,xIntent,xWant
17944,xReact,xReact
17945,xIntent,xNeed
17946,xAttr,xReact
17947,xAttr,xReact
17948,xIntent,xNeed
17949,xEffect,xAttr
17950,oEffect,xNeed
17951,xIntent,xNeed
17952,xIntent,xIntent
17953,xIntent,xReact
17954,xEffect,xReact
17955,xIntent,xIntent
17956,xIntent,xEffect
17957,xWant,oReact
17958,xAttr,xAttr
17959,xAttr,xReact
17960,xEffect,oReact
17961,xEffect,xIntent
17962,xIntent,xIntent
17963,xIntent,xNeed
17964,xAttr,xAttr
17965,xIntent,xNeed
17966,xIntent,oReact
17967,xAttr,oReact
17968,xReact,oWant
17969,xEffect,oReact
17970,xEffect,xReact
17971,xWant,xNeed
17972,xIntent,oWant
17973,xNeed,xEffect
17974,xWant,xWant
17975,xAttr,xAttr
17976,xEffect,xNeed
17977,xIntent,xIntent
17978,xIntent,xWant
17979,xEffect,oReact
17980,oEffect,xNeed
17981,xEffect,xEffect
17982,xIntent,xReact
17983,xIntent,xWant
17984,oReact,xAttr
17985,xIntent,xNeed
17986,xEffect,oEffect
17987,xIntent,xWant
17988,xIntent,xEffect
17989,xIntent,xNeed
17990,xEffect,xIntent
17991,xAttr,xAttr
17992,xIntent,xNeed
17993,xEffect,xIntent
17994,xEffect,xAttr
17995,xIntent,xNeed
17996,xAttr,oReact
17997,xAttr,oWant
17998,xIntent,xReact
17999,xIntent,xWant
18000,xAttr,xAttr
18001,oEffect,oEffect
18002,xWant,oWant
18003,xIntent,oWant
18004,xAttr,xAttr
18005,xIntent,xEffect
18006,xWant,xIntent
18007,xAttr,xAttr
18008,xNeed,xReact
18009,xEffect,xAttr
18010,xAttr,xReact
18011,xIntent,xAttr
18012,xIntent,xIntent
18013,xNeed,xIntent
18014,xIntent,xWant
18015,xAttr,xWant
18016,xIntent,xWant
18017,xEffect,oReact
18018,xEffect,xEffect
18019,xIntent,xAttr
18020,xIntent,oWant
18021,xEffect,xReact
18022,xIntent,xWant
18023,xIntent,xNeed
18024,NA,xIntent
18025,xAttr,xReact
18026,xAttr,xAttr
18027,xWant,xAttr
18028,xIntent,oWant
18029,xNeed,xReact
18030,xEffect,xEffect
18031,xAttr,xReact
18032,xNeed,xEffect
18033,xIntent,xEffect
18034,xAttr,oReact
18035,xAttr,xEffect
18036,xAttr,xAttr
18037,xAttr,xReact
18038,xIntent,xEffect
18039,xAttr,xAttr
18040,xIntent,xNeed
18041,xIntent,xAttr
18042,xEffect,xEffect
18043,oEffect,oEffect
18044,xIntent,xReact
18045,xIntent,oEffect
18046,oEffect,xReact
18047,xIntent,xEffect
18048,xIntent,xNeed
18049,xAttr,xAttr
18050,xAttr,xAttr
18051,xIntent,xWant
18052,xIntent,oEffect
18053,xIntent,xNeed
18054,oEffect,xEffect
18055,xNeed,xReact
18056,xAttr,xIntent
18057,xIntent,xIntent
18058,xIntent,xEffect
18059,xAttr,xReact
18060,oEffect,xReact
18061,NA,xWant
18062,xIntent,xNeed
18063,xIntent,xWant
18064,NA,xIntent
18065,xAttr,xAttr
18066,xIntent,oWant
18067,xAttr,xReact
18068,xAttr,xIntent
18069,xIntent,xNeed
18070,xEffect,xAttr
18071,xIntent,oEffect
18072,xIntent,oWant
18073,oReact,oEffect
18074,xAttr,xAttr
18075,oReact,xAttr
18076,xIntent,xWant
18077,xIntent,xWant
18078,oReact,xReact
18079,oWant,oWant
18080,xEffect,xAttr
18081,xIntent,xEffect
18082,xIntent,xWant
18083,xReact,xReact
18084,xAttr,xEffect
18085,xAttr,xAttr
18086,xIntent,xNeed
18087,xIntent,xNeed
18088,xAttr,xAttr
18089,xNeed,xNeed
18090,xIntent,xWant
18091,xAttr,xAttr
18092,xEffect,xEffect
18093,xWant,xAttr
18094,xReact,oEffect
18095,xIntent,xWant
18096,xAttr,xAttr
18097,xIntent,xWant
18098,xAttr,xAttr
18099,xIntent,xIntent
18100,xAttr,xAttr
18101,xAttr,xEffect
18102,xIntent,xWant
18103,xIntent,xIntent
18104,xIntent,xNeed
18105,xAttr,xAttr
18106,oReact,xReact
18107,oEffect,xEffect
18108,xAttr,oEffect
18109,xAttr,xAttr
18110,xAttr,xAttr
18111,xAttr,xEffect
18112,xEffect,xReact
18113,xIntent,xWant
18114,xIntent,xIntent
18115,xAttr,xReact
18116,xEffect,xNeed
18117,oReact,xNeed
18118,xEffect,xEffect
18119,xReact,xEffect
18120,xReact,xNeed
18121,xAttr,xEffect
18122,xReact,xEffect
18123,xIntent,xIntent
18124,NA,xIntent
18125,xIntent,xIntent
18126,xIntent,oEffect
18127,xNeed,xNeed
18128,xWant,xEffect
18129,xIntent,xWant
18130,xWant,xAttr
18131,xWant,xWant
18132,xReact,xIntent
18133,xIntent,xIntent
18134,xAttr,oReact
18135,xIntent,xIntent
18136,xAttr,xAttr
18137,xIntent,xAttr
18138,xEffect,xWant
18139,xIntent,xNeed
18140,xIntent,xWant
18141,xWant,oReact
18142,oEffect,xWant
18143,xReact,xWant
18144,xIntent,xWant
18145,xIntent,oWant
18146,xWant,xWant
18147,xIntent,oEffect
18148,xNeed,xWant
18149,xIntent,oEffect
18150,xIntent,xAttr
18151,xAttr,oWant
18152,xIntent,xIntent
18153,xEffect,xReact
18154,NA,xIntent
18155,xIntent,xEffect
18156,xEffect,xReact
18157,xIntent,xNeed
18158,xAttr,xAttr
18159,xIntent,xIntent
18160,xEffect,xReact
18161,xEffect,xReact
18162,xWant,xNeed
18163,oWant,oWant
18164,xEffect,xReact
18165,xEffect,xEffect
18166,xAttr,xAttr
18167,xAttr,xAttr
18168,xAttr,oReact
18169,xIntent,xNeed
18170,xEffect,xEffect
18171,xReact,xAttr
18172,xWant,xEffect
18173,xIntent,xWant
18174,xAttr,xReact
18175,xEffect,xAttr
18176,xEffect,xEffect
18177,xIntent,xNeed
18178,oEffect,xAttr
18179,xEffect,xIntent
18180,xIntent,oWant
18181,xIntent,xIntent
18182,xIntent,xNeed
18183,xIntent,xIntent
18184,xIntent,xAttr
18185,xAttr,xAttr
18186,xWant,xReact
18187,xIntent,oWant
18188,xEffect,xEffect
18189,xAttr,xAttr
18190,xAttr,xAttr
18191,oReact,xReact
18192,xReact,xReact
18193,xIntent,xWant
18194,xIntent,oReact
18195,xIntent,xReact
18196,oEffect,xWant
18197,xAttr,xAttr
18198,xIntent,xNeed
18199,xEffect,xReact
18200,xAttr,xEffect
18201,xEffect,xReact
18202,xReact,xAttr
18203,xAttr,xAttr
18204,xAttr,oReact
18205,xEffect,oEffect
18206,oReact,xEffect
18207,xIntent,xIntent
18208,xAttr,xAttr
18209,xIntent,xNeed
18210,xIntent,xWant
18211,xWant,oReact
18212,xIntent,xReact
18213,xIntent,xAttr
18214,oReact,xEffect
18215,xEffect,xEffect
18216,xAttr,xAttr
18217,xEffect,xEffect
18218,xEffect,xAttr
18219,xIntent,xNeed
18220,NA,xEffect
18221,xEffect,xReact
18222,xNeed,xEffect
18223,xIntent,xWant
18224,xEffect,xReact
18225,xAttr,oWant
18226,xIntent,xWant
18227,xAttr,xAttr
18228,xIntent,xReact
18229,xReact,oWant
18230,xAttr,xEffect
18231,xIntent,xWant
18232,xReact,xAttr
18233,xIntent,xEffect
18234,xEffect,xWant
18235,xAttr,xAttr
18236,xAttr,xAttr
18237,xNeed,xWant
18238,oEffect,xEffect
18239,xAttr,xAttr
18240,xWant,xNeed
18241,xIntent,xWant
18242,xEffect,xReact
18243,xAttr,xReact
18244,xEffect,oEffect
18245,xIntent,oWant
18246,xIntent,oWant
18247,oEffect,oEffect
18248,xEffect,xReact
18249,xIntent,oWant
18250,xWant,xIntent
18251,xAttr,xReact
18252,xIntent,xIntent
18253,xWant,oWant
18254,oReact,oReact
18255,xIntent,xReact
18256,xAttr,xReact
18257,xAttr,xReact
